TSTNO| VEHNO| IPNO| IPLOC| IPLOCD| IPCOM| IPCOMD| BIX| BIY| BIZ| AIX| AIY| AIZ| TSTREF 
2678|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3030|||2960|||MT5102
2678|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3030|||3028|||MT5102
2678|1|24|C|Steering Column|SC|Steering column|2785|320|390|2730|355|445|MT5102
2678|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2680|||2680|||MT5102
2897|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3247|||2971|||MW0309
2897|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3247|||2974|||MW0309
2897|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3247|||3040|||MW0309
2897|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3123|||2897|||MW0309
2897|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3149|||2891|||MW0309
2897|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3149|||2899|||MW0309
2897|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3149|||3039|||MW0309
2897|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3035|||2922|||MW0309
2897|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3035|||2924|||MW0309
2897|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3035|||2962|||MW0309
2897|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3068|||2745|||MW0309
2897|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2848|||2660|||MW0309
2897|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2848|||2681|||MW0309
2897|1|24|C|Steering Column|SC|Steering column|2552|404|435|2367|415|538|MW0309
2897|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2444|||2420|||MW0309
2902|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3892|||3438|||MW0120
2902|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3927|||3543|||MW0120
2902|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3917|||3588|||MW0120
2902|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3712|||3333|||MW0120
2902|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3817|||3373|||MW0120
2902|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3827|||3473|||MW0120
2902|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3822|||3533|||MW0120
2902|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3722|||3423|||MW0120
2902|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3722|||3393|||MW0120
2902|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3722|||3448|||MW0120
2902|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3702|||3331|||MW0120
2902|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3497|||3143|||MW0120
2902|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3497|||3213|||MW0120
2902|1|24|C|Steering Column|SC|Steering column|3254|380|443|2970|418|450|MW0120
2902|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|3092|||3088|||MW0120
2906|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3467|||3160|||MW0213
2906|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3465|||3180|||MW0213
2906|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3440|||3200|||MW0213
2906|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3323|||3150|||MW0213
2906|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3367|||3144|||MW0213
2906|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3365|||3124|||MW0213
2906|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3360|||3220|||MW0213
2906|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3267|||3143|||MW0213
2906|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3265|||3167|||MW0213
2906|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3270|||3239|||MW0213
2906|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3190|||2995|||MW0213
2906|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2970|||2875|||MW0213
2906|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2965|||2870|||MW0213
2906|1|24|C|Steering Column|SC|Steering column|2650|395|455|2960|385|380|MW0213
