TSTNO| VEHNO| IPNO| IPLOC| IPLOCD| IPCOM| IPCOMD| BIX| BIY| BIZ| AIX| AIY| AIZ| TSTREF 
4646|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|2990|565|214|2989|565|233|030214
4646|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3006|-178|244|3002|-171|262|030214
4646|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|2903|-582|216|2906|-567|218|030214
4646|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|2921|223|291|2921|227|318|030214
4646|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|2928|-479|287|2925|-472|296|030214
4646|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|2920|398|283|2920|401|310|030214
4646|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|2923|-329|291|2921|-321|305|030214
4646|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|2922|568|294|2919|572|314|030214
4646|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|2940|-171|312|2939|-164|329|030214
4646|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|2840|217|345|2839|222|371|030214
4646|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|2842|-477|347|2840|-473|358|030214
4646|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|2841|400|338|2838|404|363|030214
4646|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|2838|-329|349|2835|-325|364|030214
4646|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|2838|568|347|2835|572|367|030214
4646|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|2870|-177|358|2872|-171|372|030214
4646|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|2860|-332|128|2854|-331|128|030214
4646|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2562|-515|-177||||030214
4646|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|2583|210|-156|2603|202|-155|030214
4646|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2578|-227|-144||||030214
4646|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|2594|508|-154|2599|500|-148|030214
4646|1|24|C|Steering Column|SC|Steering column|2377|-371|-329|2427|-393|-278|030214
4646|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2261|-594|225|2260|-590|234|030214
4646|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2260|588|221|2260|594|241|030214
4659|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3225|134|317|3197|129|307|030529-1
4659|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3122|-639|236|3113|-647|233|030529-1
4659|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3240|345|293|3216|340|282|030529-1
4659|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3242|-394|269|3221|-397|260|030529-1
4659|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3135|595|249|3123|597|248|030529-1
4659|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3227|-171|268|3202|-172|261|030529-1
4659|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3112|-608|370|3104|-614|367|030529-1
4659|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|3154|126|378|3130|123|372|030529-1
4659|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3113|-642|306|3106|-649|303|030529-1
4659|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|3155|339|386|3136|335|380|030529-1
4659|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3193|-395|360|3179|-399|353|030529-1
4659|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|3124|602|329|3115|602|328|030529-1
4659|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3177|-172|363|3162|-178|360|030529-1
4659|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|3052|126|432|3032|124|431|030529-1
4659|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3076|-634|404|3068|-640|401|030529-1
4659|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|3066|344|430|3051|342|430|030529-1
4659|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3110|-399|419|3099|-404|416|030529-1
4659|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|3068|604|417|3057|602|413|030529-1
4659|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3101|-179|418|3088|-184|423|030529-1
4659|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3044|-315|250|3021|-334|235|030529-1
4659|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2761|-516|-59|2784|-506|-82|030529-1
4659|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|2766|238|-48||||030529-1
4659|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2758|-183|-52|2801|-189|-91|030529-1
4659|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|2757|506|-43||||030529-1
4659|1|24|C|Steering Column|SC|Steering column|2539|-341|-201|2581|-331|-252|030529-1
4659|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2423|-539|385|2416|-541|388|030529-1
4659|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2424|521|383|2422|520|387|030529-1
4702|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3040|220|204|3034|221|220|030623-1
4702|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3030|-506|208|3022|-501|208|030623-1
4702|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3060|365|189|3050|362|200|030623-1
4702|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3033|-372|209|3024|-367|212|030623-1
4702|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3051|511|170|3043|508|180|030623-1
4702|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3033|-193|217|3022|-187|224|030623-1
4702|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|2884|-596|332|2883|-595|336|030623-1
4702|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|2950|221|279|2946|223|298|030623-1
4702|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|2953|-532|267|2950|-530|271|030623-1
4702|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|2954|372|274|2952|373|293|030623-1
4702|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|2947|-375|279|2944|-373|287|030623-1
4702|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|2963|558|267|2961|559|280|030623-1
4702|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|2958|-196|305|2954|-194|316|030623-1
4702|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|2859|214|344|2857|216|365|030623-1
4702|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|2839|-544|347|2836|-543|353|030623-1
4702|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|2871|381|339|2870|384|357|030623-1
4702|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|2816|-382|363|2814|-382|372|030623-1
4702|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|2886|583|332|2885|586|345|030623-1
4702|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|2877|-201|361|2875|-201|374|030623-1
4702|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|2867|-352|138|2849|-358|128|030623-1
4702|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2592|-516|-124|2599|-506|-114|030623-1
4702|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|2610|279|-110|2625|273|-62|030623-1
4702|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2581|-188|-137|2623|-232|-132|030623-1
4702|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|2606|549|-130|2603|541|-51|030623-1
4702|1|24|C|Steering Column|SC|Steering column|2382|-370|-329|2450|-370|-390|030623-1
4702|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2280|-582|284|2280|-581|288|030623-1
4702|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2282|576|284|2282|578|297|030623-1
4714|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3307|184|126|3293|192|126|030805-1
4714|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3286|-563|109|3283|-552|108|030805-1
4714|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3308|371|127|3297|375|125|030805-1
4714|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3309|-357|122|3302|-343|121|030805-1
4714|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3284|551|89|3285|555|92|030805-1
4714|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3305|-187|132|3292|-173|131|030805-1
4714|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3246|-598|165|3242|-588|161|030805-1
4714|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|3205|183|201|3203|192|209|030805-1
4714|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3214|-570|195|3212|-559|194|030805-1
4714|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|3211|368|200|3214|376|212|030805-1
4714|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3217|-366|193|3214|-354|196|030805-1
4714|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|3211|558|212|3213|568|214|030805-1
4714|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3237|-165|211|3230|-152|216|030805-1
4714|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|3095|183|277|3096|193|290|030805-1
4714|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3115|-572|266|3115|-563|266|030805-1
4714|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|3103|369|277|3104|381|284|030805-1
4714|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3114|-370|268|3112|-360|272|030805-1
4714|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|3110|566|276|3110|576|278|030805-1
4714|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3120|-167|286|3119|-157|296|030805-1
4714|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3132|-349|51|3112|-354|37|030805-1
4714|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2846|-539|-239|2863|-539|-243|030805-1
4714|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|2854|223|-241|2872|218|-252|030805-1
4714|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2854|-243|-222|2890|-228|-191|030805-1
4714|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|2861|473|-241|2872|470|-253|030805-1
4714|1|24|C|Steering Column|SC|Steering column|2659|-388|-415|2689|-394|-427|030805-1
4714|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2520|-613|156|2521|-606|163|030805-1
4714|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2530|573|164|2532|584|171|030805-1
4869|1|1|D|Driver Side|TPA1D|Toepan point A1, driver side|4354|-748|-657|4289|-715|-669|R30320
4869|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|4440|-594|-660|4417|-578|-667|R30320
4869|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|4468|-441|-649|4462|-462|-639|R30320
4869|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|4404|525|-661|4404|531|-676|R30320
4869|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|4479|-390|-668|4310|-279|-634|R30320
4869|1|4|P|Passenger Side|TPD1P|Toepan point D1, passenger side|4343|698|-646|4337|679|-676|R30320
4869|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|4312|-746|-578|4260|-708|-595|R30320
4869|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|4313|-591|-577|4276|-568|-579|R30320
4869|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|4306|-433|-578|4308|-452|-595|R30320
4869|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|4260|491|-599|4275|529|-603|R30320
4869|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|4238|-241|-561|4307|-310|-589|R30320
4869|1|8|P|Passenger Side|TPD2P|Toepan point D2, passenger side|4272|656|-601|4281|677|-603|R30320
4869|1|9|D|Driver Side|TPA3D|Toepan point A3, driver side|4133|-702|-502|4170|-703|-481|R30320
4869|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|4149|-581|-507|4166|-568|-482|R30320
4869|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|4151|425|-552|4138|399|-554|R30320
4869|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|4135|-435|-512|4171|-421|-494|R30320
4869|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|4161|561|-529|4152|536|-527|R30320
4869|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|4158|-293|-521|4178|-283|-502|R30320
4869|1|12|P|Passenger Side|TPD3P|Toepan point D3, passenger side|4169|708|-531|4155|679|-526|R30320
4869|1|13|D|Driver Side|FBA4D|Floorboard point A4, driver side|4061|-720|-491|4093|-690|-441|R30320
4869|1|14|D|Driver Side|FBB4D|Floorboard point B4, driver side|4064|-572|-502|4084|-542|-464|R30320
4869|1|14|P|Passenger Side|FBB4P|Floorboard point B4, passenger side|4080|420|-519|4064|398|-512|R30320
4869|1|15|D|Driver Side|FBC4D|Floorboard point C4, driver side|4068|-432|-500|4089|-401|-476|R30320
4869|1|15|P|Passenger Side|FBC4P|Floorboard point C4, passenger side|4084|551|-526|4070|534|-517|R30320
4869|1|16|D|Driver Side|FBD4D|Floorboard point D4, driver side|4070|-298|-510|4082|-251|-497|R30320
4869|1|16|P|Passenger Side|FBD4P|Floorboard point D4, passenger side|4080|708|-512|4073|682|-513|R30320
4869|1|17|D|Driver Side|FBA5D|Floorboard point A5, driver side|3980|-723|-486|4011|-680|-435|R30320
4869|1|17|P|Passenger Side|FBA5P|Floorboard point A5, passenger side|3984|287|-531|3995|244|-560|R30320
4869|1|18|D|Driver Side|FBB5D|Floorboard point B5, driver side|3987|-589|-500|3991|-544|-440|R30320
4869|1|18|P|Passenger Side|FBB5P|Floorboard point B5, passenger side|3960|398|-517|3978|404|-508|R30320
4869|1|19|D|Driver Side|FBC5D|Floorboard point C5, driver side|3993|-439|-509|4011|-394|-474|R30320
4869|1|19|P|Passenger Side|FBC5P|Floorboard point C5, passenger side|4001|558|-519|3984|538|-515|R30320
4869|1|20|D|Driver Side|FBD5D|Floorboard point D5, driver side|3993|-303|-506|4002|-257|-490|R30320
4869|1|20|P|Passenger Side|FBD5P|Floorboard point D5, passenger side|4000|704|-517|3986|686|-512|R30320
4869|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|4200|-477|-742|4191|-461|-728|R30320
4869|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|4013|-604|-972|4003|-606|-969|R30320
4869|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|3973|296|-982|3988|330|-989|R30320
4869|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|4012|-308|-977|3979|-281|-968|R30320
4869|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|3985|621|-989|4001|637|-986|R30320
4869|1|24|C|Steering Column|SC|Steering column|3754|-475|-1238|3747|-476|-1212|R30320
4869|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|3668|-645|-582|3661|-647|-568|R30320
4869|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|3679|649|-597|3683|643|-590|R30320
4870|1|1|D|Driver Side|TPA1D|Toepan point A1, driver side|3502|-607|-377|3528|-628|-365|RUN2098
4870|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3492|119|-321|3570|162|-329|RUN2098
4870|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3592|-444|-353|3553|-468|-325|RUN2098
4870|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3574|285|-335|3574|269|-319|RUN2098
4870|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3617|-343|-353|3579|-343|-372|RUN2098
4870|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3579|437|-337|3571|414|-322|RUN2098
4870|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3627|-224|-362|3610|-224|-373|RUN2098
4870|1|4|P|Passenger Side|TPD1P|Toepan point D1, passenger side|3554|567|-342|3590|550|-329|RUN2098
4870|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3457|-598|-314|3498|-609|-287|RUN2098
4870|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|3413|133|-247|3481|166|-244|RUN2098
4870|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3501|-457|-279|3498|-465|-298|RUN2098
4870|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|3478|286|-259|3397|230|-227|RUN2098
4870|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3510|-331|-286|3492|-332|-311|RUN2098
4870|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|3493|445|-267|3485|434|-250|RUN2098
4870|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3489|-200|-273|3501|-219|-299|RUN2098
4870|1|8|P|Passenger Side|TPD2P|Toepan point D2, passenger side|3501|559|-273|3490|555|-256|RUN2098
4870|1|9|D|Driver Side|TPA3D|Toepan point A3, driver side|3406|-596|-227|3406|-594|-226|RUN2098
4870|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|3390|181|-225|3364|174|-195|RUN2098
4870|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3414|-452|-226|3411|-456|-218|RUN2098
4870|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|3391|293|-221|3375|283|-199|RUN2098
4870|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3415|-331|-222|3321|-279|-193|RUN2098
4870|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|3396|439|-221|3388|434|-202|RUN2098
4870|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3413|-211|-222|3414|-213|-217|RUN2098
4870|1|12|P|Passenger Side|TPD3P|Toepan point D3, passenger side|3398|562|-223|3395|560|-204|RUN2098
4870|1|13|D|Driver Side|FBA4D|Floorboard point A4, driver side|3327|-586|-224|3328|-591|-221|RUN2098
4870|1|13|P|Passenger Side|FBA4P|Floorboard point A4, passenger side|3314|190|-225|3300|181|-209|RUN2098
4870|1|14|D|Driver Side|FBB4D|Floorboard point B4, driver side|3322|-453|-222|3324|-454|-225|RUN2098
4870|1|14|P|Passenger Side|FBB4P|Floorboard point B4, passenger side|3312|295|-223|3299|287|-202|RUN2098
4870|1|15|D|Driver Side|FBC4D|Floorboard point C4, driver side|3314|-326|-224|3318|-328|-210|RUN2098
4870|1|15|P|Passenger Side|FBC4P|Floorboard point C4, passenger side|3310|442|-219|3307|435|-203|RUN2098
4870|1|16|D|Driver Side|FBD4D|Floorboard point D4, driver side|3309|-205|-228|3306|-205|-220|RUN2098
4870|1|16|P|Passenger Side|FBD4P|Floorboard point D4, passenger side|3326|563|-213|3319|557|-199|RUN2098
4870|1|17|D|Driver Side|FBA5D|Floorboard point A5, driver side|3239|-581|-224|3237|-583|-223|RUN2098
4870|1|17|P|Passenger Side|FBA5P|Floorboard point A5, passenger side|3202|181|-223|3191|178|-204|RUN2098
4870|1|18|D|Driver Side|FBB5D|Floorboard point B5, driver side|3230|-450|-228|3235|-451|-226|RUN2098
4870|1|18|P|Passenger Side|FBB5P|Floorboard point B5, passenger side|3210|282|-226|3195|278|-205|RUN2098
4870|1|19|D|Driver Side|FBC5D|Floorboard point C5, driver side|3227|-326|-224|3229|-325|-218|RUN2098
4870|1|19|P|Passenger Side|FBC5P|Floorboard point C5, passenger side|3215|430|-225|3204|427|-205|RUN2098
4870|1|20|D|Driver Side|FBD5D|Floorboard point D5, driver side|3226|-189|-229|3222|-191|-223|RUN2098
4870|1|20|P|Passenger Side|FBD5P|Floorboard point D5, passenger side|3212|556|-224|3209|557|-202|RUN2098
4870|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3461|-376|-434|3460|-355|-440|RUN2098
4870|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3205|-538|-638|3207|-541|-648|RUN2098
4870|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|3172|240|-694|3161|236|-676|RUN2098
4870|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3226|-233|-625|3252|-243|-641|RUN2098
4870|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|3166|542|-691|3154|541|-677|RUN2098
4870|1|24|C|Steering Column|SC|Steering column|2923|-353|-904|2987|-406|-945|RUN2098
4870|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2870|-596|-299|2870|-594|-298|RUN2098
4870|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2871|578|-297|2856|566|-289|RUN2098
4873|1|1|D|Driver Side|TPA1D|Toepan point A1, driver side|3476|-647|-654|3396|-660|-650|R30153
4873|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3575|373|-575|3399|282|-544|R30153
4873|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3524|-499|-541|3444|-514|-552|R30153
4873|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3525|417|-533|3447|382|-514|R30153
4873|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3529|-368|-535|3437|-351|-535|R30153
4873|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3524|541|-529|3502|539|-522|R30153
4873|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3526|-217|-548|3441|-213|-547|R30153
4873|1|4|P|Passenger Side|TPD1P|Toepan point D1, passenger side|3504|668|-520|3505|659|-532|R30153
4873|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3428|-655|-603|3363|-665|-593|R30153
4873|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|3399|238|-460|3394|310|-488|R30153
4873|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3478|-518|-458|3451|-505|-440|R30153
4873|1|6|P|Passenger Side|TPB2P|Toepan point B2, passenger side|3448|400|-460|3448|427|-441|R30153
4873|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3476|-364|-451|3451|-363|-441|R30153
4873|1|7|P|Passenger Side|TPC2P|Toepan point C2, passenger side|3468|530|-468|3459|546|-443|R30153
4873|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3384|-159|-452|3369|-160|-467|R30153
4873|1|8|P|Passenger Side|TPD2P|Toepan point D2, passenger side|3466|671|-468|3463|680|-453|R30153
4873|1|9|D|Driver Side|TPA3D|Toepan point A3, driver side|3375|-668|-534|3317|-667|-512|R30153
4873|1|9|P|Passenger Side|TPA3P|Toepan point A3, passenger side|3344|240|-431|3349|310|-446|R30153
4873|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3407|-516|-424|3384|-507|-408|R30153
4873|1|10|P|Passenger Side|TPB3P|Toepan point B3, passenger side|3392|415|-423|3398|434|-395|R30153
4873|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3402|-362|-421|3378|-356|-408|R30153
4873|1|11|P|Passenger Side|TPC3P|Toepan point C3, passenger side|3391|533|-424|3398|550|-401|R30153
4873|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3347|-174|-416|3373|-210|-417|R30153
4873|1|12|P|Passenger Side|TPD3P|Toepan point D3, passenger side|3390|661|-425|3394|680|-410|R30153
4873|1|13|D|Driver Side|FBA4D|Floorboard point A4, driver side|3288|-668|-421|3263|-657|-404|R30153
4873|1|13|P|Passenger Side|FBA4P|Floorboard point A4, passenger side|3276|261|-439|3259|300|-418|R30153
4873|1|14|D|Driver Side|FBB4D|Floorboard point B4, driver side|3273|-507|-424|3256|-505|-402|R30153
4873|1|14|P|Passenger Side|FBB4P|Floorboard point B4, passenger side|3268|406|-419|3265|422|-392|R30153
4873|1|15|D|Driver Side|FBC4D|Floorboard point C4, driver side|3289|-354|-416|3254|-347|-401|R30153
4873|1|15|P|Passenger Side|FBC4P|Floorboard point C4, passenger side|3259|543|-418|3268|554|-402|R30153
4873|1|16|D|Driver Side|FBD4D|Floorboard point D4, driver side|3292|-199|-425|3257|-197|-410|R30153
4873|1|16|P|Passenger Side|FBD4P|Floorboard point D4, passenger side|3260|657|-420|3262|683|-402|R30153
4873|1|17|D|Driver Side|FBA5D|Floorboard point A5, driver side|3146|-664|-429|3136|-641|-419|R30153
4873|1|17|P|Passenger Side|FBA5P|Floorboard point A5, passenger side|3153|248|-454|3130|272|-412|R30153
4873|1|18|D|Driver Side|FBB5D|Floorboard point B5, driver side|3142|-510|-426|3116|-502|-397|R30153
4873|1|18|P|Passenger Side|FBB5P|Floorboard point B5, passenger side|3133|400|-424|3131|414|-397|R30153
4873|1|19|D|Driver Side|FBC5D|Floorboard point C5, driver side|3153|-346|-433|3118|-340|-399|R30153
4873|1|19|P|Passenger Side|FBC5P|Floorboard point C5, passenger side|3133|531|-424|3130|546|-406|R30153
4873|1|20|D|Driver Side|FBD5D|Floorboard point D5, driver side|3151|-199|-431|3115|-194|-410|R30153
4873|1|20|P|Passenger Side|FBD5P|Floorboard point D5, passenger side|3130|651|-425|3126|670|-413|R30153
4873|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3357|-360|-639|3174|-375|-787|R30153
4873|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3130|-525|-903|3160|-568|-874|R30153
4873|1|22|P|Passenger Side|UIPLP|Upper IP left knee, passenger side|3094|258|-927|3087|277|-922|R30153
4873|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3143|-235|-898|3156|-200|-875|R30153
4873|1|23|P|Passenger Side|UIPRP|Upper IP right knee , passenger side|3088|567|-933|3084|584|-926|R30153
4873|1|24|C|Steering Column|SC|Steering column|2871|-364|-1142|2832|-375|-1063|R30153
4873|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2800|-577|-492|2785|-589|-460|R30153
4873|1|25|P|Passenger Side|SBP|Front outboard seat-attachment point, passenger|2773|573|-491|2780|596|-466|R30153
4874|1|1|D|Driver Side|TPA1D|Toepan point A1, driver side|3493|-504|-430|3507|-607|-421|R30154
4874|1|1|P|Passenger Side|TPA1P|Toepan point A1, passenger side|3615|176|-380|3625|212|-406|R30154
4874|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3640|-493|-391|3588|-474|-434|R30154
4874|1|2|P|Passenger Side|TPB1P|Toepan point B1, passenger side|3614|303|-388|3641|356|-392|R30154
4874|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3667|-342|-398|3621|-339|-428|R30154
4874|1|3|P|Passenger Side|TPC1P|Toepan point C1, passenger side|3616|450|-394|3632|490|-396|R30154
4874|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3690|-204|-399|3624|-187|-448|R30154
4874|1|4|P|Passenger Side|TPD1P|Toepan point D1, passenger side|3560|598|-390|3577|628|-407|R30154
4874|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3501|-621|-320|3476|-612|-343|R30154
4874|1|5|P|Passenger Side|TPA2P|Toepan point A2, passenger side|3530|186|-306|3539|226|-296|R30154
