TSTNO| BARRIG| BARRIGD| BARSHP| BARSHPD| BARANG| BARDIA| BARCOM 
1680|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1681|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1683|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1684|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1688|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1689|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1690|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1691|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1692|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1693|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1694|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1695|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1697|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1698|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1699|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1700|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1701|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1702|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1703|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1705|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1706|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1707|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1708|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1709|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1717|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1718|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1719|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1720|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1721|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1722|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1723|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1724|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1725|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1726|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1727|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1728|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1729|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1730|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1731|R|RIGID|LCB|LOAD CELL BARRIER|0||36 50KLB LOAD CELLS ARRANGED IN A 9 WIDE BY 4 HIGH MATRIX.
1732|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1733|R|RIGID|LCB|LOAD CELL BARRIER|0||10/12/5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1734|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1740|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1741|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1742|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1743|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1746|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1750|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1751|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1760|U|UNKNOWN|UNK|UNKNOWN|||NO COMMENTS
1761|U|UNKNOWN|UNK|UNKNOWN|||NO COMMENTS
1762|U|UNKNOWN|UNK|UNKNOWN|||NO COMMENTS
1763|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1765|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1768|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1769|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1771|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1772|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1773|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1774|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1775|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1776|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1777|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1778|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1779|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1781|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1782|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1783|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1784|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1785|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1786|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1787|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1788|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1789|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1790|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1791|R|RIGID|UNK|UNKNOWN|||NO COMMENTS
1792|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1793|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER INSRAT FIELDS ARE IN KILONEWTONS
1794|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1795|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1796|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1797|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1798|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1800|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1801|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1802|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD
1803|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD
1804|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD
1805|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD
1813|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER INSRAT FIELDS ARE IN KILONEWTONS
1814|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1815|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1816|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1817|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER INSRAT FIELDS ARE IN KILONEWTONS
1818|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1819|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1820|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER INSRAT FIELDS ARE IN KILONEWTONS
1821|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1822|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1828|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1841|R|RIGID|POL|POLE||305|NO COMMENTS
1842|R|RIGID|POL|POLE||305|NO COMMENTS
1843|R|RIGID|POL|POLE||305|NO COMMENTS
1844|R|RIGID|POL|POLE||305|NO COMMENTS
1845|R|RIGID|POL|POLE||305|NO COMMENTS
1853|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1854|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1855|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1857|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1858|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1873|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1874|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1875|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1877|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 6 LOADCELLS
1878|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1883|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH 36 GFE BARRIER LOAD CELLS
1884|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1885|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1886|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1888|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1890|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1891|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1892|R||LCB||0|0|FRONTAL FLAT BARRIER WITH 36 LOADCELLS
1900|D|DEFORMABLE|OTH|OTHER|27||DEFORMABLE MOVING BARRIER
1903|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1905|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1907|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1918|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1919|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1921|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1922|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1923|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1926|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD MOUNTED TO SEMITRAILER & TRACTOR
1927|D|DEFORMABLE|OTH|OTHER|0||HEAVY TRUCK REAR UNDERRIDE GUARD
1928|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1935|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1936|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1937|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1938|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1939|R|RIGID|OTH|OTHER|0||HEAVY TRUCK RIGID REAR UNDERRIDE GUARD MOUNTED TO FIXED RIGID BARRIER
1940|R|RIGID|OTH|OTHER|0||HEAVY TRUCK RIGID REAR UNDERRIDE GUARD MOUNTED TO FIXED RIGID BARRIER
1941|R|RIGID|OTH|OTHER|0||HEAVY TRUCK RIGID REAR UNDERRIDE GUARD MOUNTED TO FIXED RIGID BARRIER
1942|R|RIGID|OTH|OTHER|0||HEAVY TRUCK RIGID REAR UNDERRIDE GUARD MOUNTED TO FIXED RIGID BARRIER
1943|R|RIGID|OTH|OTHER|0||RIGID HEAVY TRUCK REAR UNDERRIDE GUARD ATTACH TO NON-DEFORMABLE BARIER
1944|R|RIGID|OTH|OTHER|0||RIGID HEAVY TRUCK REAR UNDERRIDE GUARD ATTACH TO NON-DEFORMABLE BARIER
1945|R|RIGID|OTH|OTHER|0||RIGID HEAVY TRUCK REAR UNDERRIDE GUARD ATTACH TO NON-DEFORMABLE BARIER
1946|R|RIGID|OTH|OTHER|0||RIGID HEAVY TRUCK REAR UNDERRIDE GUARD ATTACH TO NON-DEFORMABLE BARIER
1947|R|RIGID|OTH|OTHER|0||RIGID HEAVY TRUCK REAR UNDERRIDE GUARD ATTACH TO NON-DEFORMABLE BARIER
1948|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1949|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1950|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1951|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1952|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1953|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1954|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1955|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
1960|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1961|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1962|D|DEFORMABLE|OTH|OTHER|0||DEFORMABLE MOVING BARRIER
1967|R|RIGID|POL|POLE||305|POLE BARRIER
1973|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1974|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1975|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1976|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1977|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1979|R|RIGID|LCB|LOAD CELL BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1981|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1982|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1983|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1985|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
1986|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1990|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1992|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1993|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1994|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
1996|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
1998|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
1999|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2000|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2001|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2002|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2004|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2005|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2006|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2007|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2017|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2018|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2019|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2020|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER
2021|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2022|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2023|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2024|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2026|R|RIGID|LUM|LUMINARE|0||THE BASE IS A TRIANGULAR 3-BOLT SLIP BASE (CALIFORNIA TYPE 31 DUPPORT)
2028|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2029|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2030|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2031|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2032|R|RIGID|FLB|FLAT BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2033|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2034|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2035|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2036|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2037|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2038|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2039|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2040|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2041|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2042|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2043|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2044|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2045|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2046|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2047|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2048|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2049|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2050|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2051|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2052|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2053|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2054|R|RIGID|LCB|LOAD CELL BARRIER|0|9999|BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2055|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2056|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2057|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2058|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2059|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2060|R|RIGID|FLB|FLAT BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2061|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2062|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2063|R|RIGID|LCB|LOAD CELL BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2064|R|RIGID|LCB|LOAD CELL BARRIER|0||BARRIER LOAD CELL INSRAT FIELDS ARE IN KILONEWTONS
2065|R|RIGID|FLB|FLAT BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER.
2066|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2067|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2068|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2069|R|RIGID|FLB|FLAT BARRIER|0|-10|NO COMMENTS
2070|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2071|R|RIGID|FLB|FLAT BARRIER|0|-10|NO COMMENTS
2072|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2074|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2077|R|RIGID|FAB|FLAT ANGLED BARRIER|50||ANGLED AT 45 DEGREES TO GROUND
2080|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER.
2091|R|RIGID|FLB|FLAT BARRIER|0|1000|10*12*5 FT. CONCRETE BARRIER.
2099|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER.
2109|R|RIGID|POL|POLE||305|NO COMMENTS
2114|R|RIGID|POL|POLE||305|NO COMMENTS
2120|R|RIGID|FLB|FLAT BARRIER|0|9999|10-12-5 FT. CONCRETE BARRIER.
2121|R|RIGID|FLB|FLAT BARRIER|0||10*12*5 FT. CONCRETE BARRIER.
2123|R|RIGID|FLB|FLAT BARRIER|0||10-12-5 FT. CONCRETE BARRIER.
2124|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2126|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2127|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2129|R|RIGID|LCB|LOAD CELL BARRIER|0|9999|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2130|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENT
2131|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENT
2139|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2140|R|RIGID|LCB|LOAD CELL BARRIER|0|9999|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2142|R|RIGID|LCB|LOAD CELL BARRIER|0|9999|10*12*5 FT. CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2143|D|DEFORMABLE|OTH|OTHER|0||BARRIER IS A EEVC BARRIER AT 50% OFFSET
2149|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2150|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2154|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2155|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2156|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENTS
2157|R|RIGID|FLB|FLAT BARRIER|0||NO COMMENT
2158|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENT
2159|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2160|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
2161|R|RIGID|LCB|LOAD CELL BARRIER|0|9999|10.2.5 FT.CONCRETE BARRIER WITH THE GFE LOAD CELL ASSEMBLY ATTACHED.
2170|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/VEHICLE CL
2171|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/VEHICLE CL
2172|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/VEHICLE CL
2173|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/VEHICLE CL
2174|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/VEHICLE CL
2175|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2176|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2177|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2178|R|RIGID|EOB|EEVC OFFSET BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2179|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2180|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2181|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2182|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2183|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2184|R|RIGID|FLB|FLAT BARRIER|0||BARRIER 50% OFFSET TO LEFT HALF OF VEHICLE
2185|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/CENTERLINE OF VEHICLE
2186|R|RIGID|POL|POLE|0|305|CENTER OF POLE ALIGNED W/CENTERLINE OF VEHICLE
