TSTNO| BARRIG| BARRIGD| BARSHP| BARSHPD| BARANG| BARDIA| BARCOM 
244|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
245|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
246|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
249|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
252|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
255|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
263|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
268|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
269|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
270|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
271|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
272|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
273|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
275|R|RIGID|FLB|FLAT BARRIER|0|0|36 50KLB LOAD CELL BARRIER MEASURES FORCE WITHOUT ABSORBING IMPACT ENE
279|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
280|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
284|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
287|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
288|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
289|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
290|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
291|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
296|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
297|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
298|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
299|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
300|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
301|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
302|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
303|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
304|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
305|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
306|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
308|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
309|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
310|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
311|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
312|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
313|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
314|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
315|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
316|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
317|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
318|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
319|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
320|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
321|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
322|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
323|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
324|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
325|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
326|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
327|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
328|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
329|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
330|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
331|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
333|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
334|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
335|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
336|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
337|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
338|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
339|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
340|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
341|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
347|R|RIGID|OTH|OTHER|0|0|EXCAVATION DROPOFF CAUSING TRUCK TO ROLLOVER
348|D|DEFORMABLE|IAT|IMPACT ATTENUATOR|0|0|STEEL DRUM BARRIER CUSHION
353|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
354|R|RIGID|FAB|FLAT ANGLED BARRIER|30|0|NO COMMENTS
355|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
356|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
357|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
360|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
363|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
364|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
365|R|RIGID|FLB|FLAT BARRIER|0|0|NHTSA FIXED LOAD CELL BARRIER W/36 50KLB LOAD CELLS
373|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
374|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
375|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
376|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
380|R|RIGID|FLB|FLAT BARRIER|0|0|SEGMENTED INSTRUMENTED FRONTFACE FOUR ROWS HORIZONTAL NINE ROWS VERTIC
381|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
382|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
383|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
386|R|RIGID|LCB|LOAD CELL BARRIER|0|0|SEGMENTED INSTRUMENTED FRONTFACE FOUR ROWS HORIZONTAL NINE ROWS VERTIC
390|R|RIGID|FLB|FLAT BARRIER|0|0|J850 RIGID FIXED BARRIER
391|R|RIGID|FLB|FLAT BARRIER|0|0|J850 RIGID FIXED BARRIER
405|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
407|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
